# Real-space Fourier biases.
# AbacusSummit_high_c000_ph100
# z=2.50
# Nobj=46082774, Ndm=750143999
#   k[h/Mpc]              ba              bx             Pmm
  5.0000e-03     1.69542e+00     1.68794e+00     1.80420e+03
  1.5000e-02     1.75454e+00     1.74952e+00     2.83484e+03
  2.5000e-02     1.73752e+00     1.73345e+00     2.71514e+03
  3.5000e-02     1.74386e+00     1.73960e+00     2.34086e+03
  4.5000e-02     1.74078e+00     1.73532e+00     1.80030e+03
  5.5000e-02     1.74620e+00     1.74006e+00     1.53182e+03
  6.5000e-02     1.74730e+00     1.74063e+00     1.41098e+03
  7.5000e-02     1.75199e+00     1.74375e+00     1.14555e+03
  8.5000e-02     1.75002e+00     1.74039e+00     9.54504e+02
  9.5000e-02     1.75966e+00     1.74770e+00     7.45520e+02
  1.0500e-01     1.76194e+00     1.74809e+00     6.50420e+02
  1.1500e-01     1.76343e+00     1.74762e+00     5.76511e+02
  1.2500e-01     1.76531e+00     1.74883e+00     5.51764e+02
  1.3500e-01     1.76904e+00     1.75086e+00     4.89083e+02
  1.4500e-01     1.77076e+00     1.75148e+00     4.59158e+02
  1.5500e-01     1.77824e+00     1.75478e+00     3.79298e+02
  1.6500e-01     1.78513e+00     1.75919e+00     3.36089e+02
  1.7500e-01     1.77903e+00     1.75090e+00     3.13512e+02
  1.8500e-01     1.78549e+00     1.75548e+00     2.88604e+02
  1.9500e-01     1.78641e+00     1.75480e+00     2.76853e+02
  2.0500e-01     1.78434e+00     1.74999e+00     2.47994e+02
  2.1500e-01     1.79385e+00     1.75658e+00     2.27789e+02
  2.2500e-01     1.79726e+00     1.75624e+00     2.05809e+02
  2.3500e-01     1.80067e+00     1.75704e+00     1.91674e+02
  2.4500e-01     1.80214e+00     1.75536e+00     1.80164e+02
  2.5500e-01     1.80808e+00     1.75843e+00     1.67651e+02
  2.6500e-01     1.81004e+00     1.75882e+00     1.60851e+02
  2.7500e-01     1.81602e+00     1.76021e+00     1.47568e+02
  2.8500e-01     1.81536e+00     1.75680e+00     1.39042e+02
  2.9500e-01     1.82539e+00     1.76331e+00     1.30309e+02
  3.0500e-01     1.82942e+00     1.76360e+00     1.22835e+02
  3.1500e-01     1.82808e+00     1.75846e+00     1.15813e+02
  3.2500e-01     1.83376e+00     1.76185e+00     1.11147e+02
  3.3500e-01     1.83719e+00     1.76022e+00     1.04289e+02
  3.4500e-01     1.84000e+00     1.75928e+00     9.87424e+01
  3.5500e-01     1.84155e+00     1.75779e+00     9.49538e+01
  3.6500e-01     1.84462e+00     1.75686e+00     9.09296e+01
  3.7500e-01     1.85043e+00     1.75812e+00     8.60261e+01
  3.8500e-01     1.85579e+00     1.76006e+00     8.21986e+01
  3.9500e-01     1.85510e+00     1.75546e+00     7.87747e+01
  4.0500e-01     1.85804e+00     1.75474e+00     7.56710e+01
  4.1500e-01     1.86602e+00     1.75860e+00     7.25871e+01
  4.2500e-01     1.86769e+00     1.75565e+00     6.97798e+01
  4.3500e-01     1.87547e+00     1.75908e+00     6.63334e+01
  4.4500e-01     1.87359e+00     1.75223e+00     6.39915e+01
  4.5500e-01     1.88134e+00     1.75709e+00     6.18168e+01
  4.6500e-01     1.88074e+00     1.75164e+00     5.96251e+01
  4.7500e-01     1.88783e+00     1.75291e+00     5.69822e+01
  4.8500e-01     1.89409e+00     1.75435e+00     5.49361e+01
  4.9500e-01     1.89658e+00     1.75170e+00     5.30190e+01
