# Real-space configuration biases.
# AbacusSummit_high_c000_ph100
# z=3.00
# Nobj=8000000, Ndm=8000000
#   r[Mpc/h]              ba              bx           xi_mm
  4.4926e-01     2.33705e+00     2.21783e+00     2.15891e+00
  5.7214e-01     2.34192e+00     2.25584e+00     1.50163e+00
  7.2862e-01     2.32887e+00     2.25130e+00     1.07262e+00
  9.2790e-01     2.28753e+00     2.23866e+00     7.89550e-01
  1.1817e+00     2.23765e+00     2.19193e+00     5.90423e-01
  1.5049e+00     2.19356e+00     2.16525e+00     4.40989e-01
  1.9165e+00     2.16605e+00     2.14454e+00     3.27520e-01
  2.4406e+00     2.12985e+00     2.10364e+00     2.45452e-01
  3.1081e+00     2.10961e+00     2.09870e+00     1.80867e-01
  3.9582e+00     2.08708e+00     2.07047e+00     1.32845e-01
  5.0408e+00     2.07288e+00     2.06484e+00     9.57349e-02
  6.4195e+00     2.06499e+00     2.06184e+00     6.75889e-02
  8.1752e+00     2.05795e+00     2.05885e+00     4.66778e-02
  1.0411e+01     2.05195e+00     2.04811e+00     3.15001e-02
  1.3259e+01     2.04628e+00     2.04496e+00     2.05732e-02
  1.6885e+01     2.03337e+00     2.03427e+00     1.30296e-02
  2.1503e+01     2.03122e+00     2.02927e+00     7.85040e-03
  2.7384e+01     2.01248e+00     2.00569e+00     4.55821e-03
  3.4874e+01     2.02291e+00     2.02200e+00     2.49338e-03
  4.4412e+01     2.03159e+00     2.04493e+00     1.22454e-03
