# Monte-Carlo calculation of wR using 1024 mocks.
# Field cosmos_N419
# Centered on (150.097,2.205)
# Number density is 4.673e-02
# Sampling by 0.0258 to get 259.7 LAEs/deg2
# Have 2268.7+/-170.16 LAEs/field.
# chi0=3941.000000Mpc/h.
# Correlation matrix is:
#   1.0000   0.0258   0.1568   0.0892   0.1151   0.0947   0.1426   0.1100   0.1025   0.0388
#   0.0258   1.0000   0.0682   0.1766   0.2128   0.2248   0.1995   0.2080   0.1943   0.1779
#   0.1568   0.0682   1.0000   0.2129   0.2739   0.2769   0.2686   0.2688   0.2853   0.1958
#   0.0892   0.1766   0.2129   1.0000   0.3227   0.3422   0.3673   0.3632   0.3619   0.2710
#   0.1151   0.2128   0.2739   0.3227   1.0000   0.4679   0.4829   0.4760   0.4581   0.3958
#   0.0947   0.2248   0.2769   0.3422   0.4679   1.0000   0.6047   0.6009   0.5430   0.4643
#   0.1426   0.1995   0.2686   0.3673   0.4829   0.6047   1.0000   0.7054   0.6785   0.5870
#   0.1100   0.2080   0.2688   0.3632   0.4760   0.6009   0.7054   1.0000   0.7592   0.6488
#   0.1025   0.1943   0.2853   0.3619   0.4581   0.5430   0.6785   0.7592   1.0000   0.7896
#   0.0388   0.1779   0.1958   0.2710   0.3958   0.4643   0.5870   0.6488   0.7896   1.0000
# R[Mpc/h]              wR             dwR
     0.502     4.99266e-01     1.99933e-01
     0.742     4.14668e-01     1.35897e-01
     1.097     3.34408e-01     9.69174e-02
     1.623     2.79723e-01     6.64075e-02
     2.400     2.27809e-01     5.19370e-02
     3.549     1.77187e-01     3.95716e-02
     5.248     1.34464e-01     3.16325e-02
     7.760     9.69783e-02     2.62782e-02
    11.475     6.42788e-02     2.15889e-02
    16.969     3.81039e-02     1.84129e-02
